Pays;Stabilite_ politique_index;Forte_instabilite_politique
Afghanistan;-2.8;Oui
Albania;0.38;Non
Algeria;-0.92;Non
American Samoa;1.22;Non
Andorra;1.42;Non
Angola;-0.33;Non
Antigua and Barbuda;0.75;Non
Argentina;0.17;Non
Armenia;-0.62;Non
Australia;0.89;Non
Austria;1.05;Non
Azerbaijan;-0.75;Non
Bahamas;0.99;Non
Bahrain;-0.96;Non
Bangladesh;-1.26;Oui
Barbados;0.97;Non
Belarus;-0.05;Non
Belgium;0.43;Non
Belize;0.04;Non
Benin;0.03;Non
Bermuda;1;Non
Bhutan;1.12;Non
Bolivia (Plurinational State of);-0.28;Non
Bosnia and Herzegovina;-0.35;Non
Botswana;1.02;Non
Brazil;-0.42;Non
Brunei Darussalam;1.16;Non
Bulgaria;0.33;Non
Burkina Faso;-0.93;Non
Burundi;-2.01;Oui
Cabo Verde;0.77;Non
Cambodia;0.09;Non
Cameroon;-1.1;Non
Canada;1.1;Non
Central African Republic;-2.01;Oui
Chad;-1.29;Oui
Chile;0.42;Non
China  Hong Kong SAR;0.83;Non
China  Macao SAR;1.43;Non
China  mainland;-0.23;Non
 Taiwan Province of China;0.86;Non
Colombia;-0.77;Non
Comoros;0.04;Non
Congo;-0.53;Non
Costa Rica;0.61;Non
Côte d'Ivoire;-1.09;Non
Croatia;0.69;Non
Cuba;0.65;Non
Cyprus;0.54;Non
Czechia;1;Non
Democratic People's Republic of Korea;-0.5;Non
Democratic Republic of the Congo;-2.35;Oui
Denmark;0.87;Non
Djibouti;-0.74;Non
Dominica;1.2;Non
Dominican Republic;0.16;Non
Ecuador;-0.07;Non
Egypt;-1.42;Oui
El Salvador;-0.26;Non
Equatorial Guinea;-0.17;Non
Eritrea;-0.73;Non
Estonia;0.65;Non
Eswatini;-0.27;Non
Ethiopia;-1.68;Oui
Fiji;0.64;Non
Finland;1.08;Non
France;0.28;Non
Gabon;-0.1;Non
Gambia;-0.08;Non
Georgia;-0.37;Non
Germany;0.59;Non
Ghana;0.09;Non
Greece;-0.07;Non
Greenland;1.92;Non
Grenada;1.01;Non
Guatemala;-0.65;Non
Guinea;-0.7;Non
Guinea-Bissau;-0.5;Non
Guyana;-0.04;Non
Haiti;-0.67;Oui
Honduras;-0.56;Non
Hungary;0.81;Non
Iceland;1.35;Non
India;-0.76;Non
Indonesia;-0.5;Non
Iran (Islamic Republic of);-0.93;Non
Iraq;-2.31;Oui
Ireland;1;Non
Israel;-0.89;Non
Italy;0.31;Non
Jamaica;0.31;Non
Japan;1.11;Non
Jordan;-0.5;Non
Kazakhstan;0.04;Non
Kenya;-1.13;Non
Kiribati;0.88;Non
Kuwait;-0.05;Non
Kyrgyzstan;-0.43;Non
Lao People's Democratic Republic;0.4;Non
Latvia;0.46;Non
Lebanon;-1.63;Oui
Lesotho;-0.19;Non
Liberia;-0.36;Non
Libya;-2.36;Oui
Lithuania;0.78;Non
Luxembourg;1.33;Non
Madagascar;-0.3;Non
Malawi;-0.25;Non
Malaysia;0.12;Non
Maldives;0.23;Non
Mali;-1.91;Oui
Malta;1.25;Non
Marshall Islands;0.87;Non
Mauritania;-0.63;Non
Mauritius;0.97;Non
Mexico;-0.72;Non
Micronesia (Federated States of);1.18;Non
Mongolia;0.79;Non
Montenegro;-0.06;Non
Morocco;-0.37;Non
Mozambique;-0.93;Non
Myanmar;-1.08;Oui
Namibia;0.63;Non
Nauru;0.52;Non
Nepal;-0.69;Non
Netherlands;0.92;Non
New Zealand;1.59;Non
Nicaragua;-0.05;Non
Niger;-1.27;Non
Nigeria;-2;Oui
North Macedonia;-0.25;Non
Norway;1.17;Non
Oman;0.75;Non
Pakistan;-2.41;Oui
Palau;0.87;Non
Palestine;-1.66;Oui
Panama;0.39;Non
Papua New Guinea;-0.7;Non
Paraguay;0;Non
Peru;-0.26;Non
Philippines;-1.18;Non
Poland;0.52;Non
Portugal;1.12;Non
Puerto Rico;0.48;Non
Qatar;0.66;Non
Republic of Korea;0.32;Non
Republic of Moldova;-0.32;Non
Romania;0.06;Non
Russian Federation;-0.64;Oui
Rwanda;0.09;Non
Saint Kitts and Nevis;0.65;Non
Saint Lucia;0.99;Non
Saint Vincent and the Grenadines;0.89;Non
Samoa;1.18;Non
Sao Tome and Principe;0.19;Non
Saudi Arabia;-0.58;Non
Senegal;-0.05;Non
Serbia;0.09;Non
Seychelles;0.79;Non
Sierra Leone;-0.04;Non
Singapore;1.62;Non
Slovakia;0.91;Non
Slovenia;0.87;Non
Solomon Islands;0.2;Non
Somalia;-2.26;Oui
South Africa;-0.28;Non
South Sudan;-2.45;Oui
Spain;0.28;Non
Sri Lanka;-0.07;Non
Sudan;-1.98;Oui
Suriname;0.13;Non
Sweden;0.98;Non
Switzerland;1.26;Non
Syrian Arab Republic;-2.62;Oui
Tajikistan;-0.67;Non
Thailand;-0.75;Non
Timor-Leste;0.07;Non
Togo;-0.88;Non
Tonga;0.79;Non
Trinidad and Tobago;0.28;Non
Tunisia;-1.02;Non
Turkey;-1.79;Non
Turkmenistan;-0.13;Non
Tuvalu;1.24;Non
Uganda;-0.57;Non
Ukraine;-1.87;Oui
United Arab Emirates;0.62;Non
United Kingdom of Great Britain and Northern Ireland;0.33;Non
United Republic of Tanzania;-0.56;Non
United States of America;0.34;Non
Uruguay;1.05;Non
Uzbekistan;-0.24;Non
Vanuatu;0.7;Non
Venezuela (Bolivarian Republic of);-1.25;Non
Viet Nam;0.29;Non
Yemen;-2.94;Oui
Zambia;0.15;Non
Zimbabwe;-0.71;Non
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
