Code zone;Zone;Élément;Année;Unité;Valeur
2;Afghanistan;Population totale;2017;1000 personnes;36296.113
202;Afrique du Sud;Population totale;2017;1000 personnes;57009.756
3;Albanie;Population totale;2017;1000 personnes;2884.169
4;Algérie;Population totale;2017;1000 personnes;41389.189
79;Allemagne;Population totale;2017;1000 personnes;82658.409
6;Andorre;Population totale;2017;1000 personnes;77.001
7;Angola;Population totale;2017;1000 personnes;29816.766
258;Anguilla;Population totale;2017;1000 personnes;14.584
8;Antigua-et-Barbuda;Population totale;2017;1000 personnes;95.426
194;Arabie saoudite;Population totale;2017;1000 personnes;33101.179
9;Argentine;Population totale;2017;1000 personnes;43937.14
1;Arménie;Population totale;2017;1000 personnes;2944.791
22;Aruba;Population totale;2017;1000 personnes;105.366
10;Australie;Population totale;2017;1000 personnes;24584.62
11;Autriche;Population totale;2017;1000 personnes;8819.901
52;Azerbaïdjan;Population totale;2017;1000 personnes;9845.32
12;Bahamas;Population totale;2017;1000 personnes;381.755
13;Bahreïn;Population totale;2017;1000 personnes;1494.076
16;Bangladesh;Population totale;2017;1000 personnes;159685.424
14;Barbade;Population totale;2017;1000 personnes;286.232
57;Bélarus;Population totale;2017;1000 personnes;9450.231
255;Belgique;Population totale;2017;1000 personnes;11419.748
23;Belize;Population totale;2017;1000 personnes;375.769
53;Bénin;Population totale;2017;1000 personnes;11175.198
17;Bermudes;Population totale;2017;1000 personnes;63.049
18;Bhoutan;Population totale;2017;1000 personnes;745.563
19;Bolivie (État plurinational de);Population totale;2017;1000 personnes;11192.855
278;Bonaire, Saint-Eustache et Saba;Population totale;2017;1000 personnes;25.401
80;Bosnie-Herzégovine;Population totale;2017;1000 personnes;3351.525
20;Botswana;Population totale;2017;1000 personnes;2205.08
21;Brésil;Population totale;2017;1000 personnes;207833.823
26;Brunéi Darussalam;Population totale;2017;1000 personnes;424.473
27;Bulgarie;Population totale;2017;1000 personnes;7102.444
233;Burkina Faso;Population totale;2017;1000 personnes;19193.234
29;Burundi;Population totale;2017;1000 personnes;10827.019
35;Cabo Verde;Population totale;2017;1000 personnes;537.498
115;Cambodge;Population totale;2017;1000 personnes;16009.409
32;Cameroun;Population totale;2017;1000 personnes;24566.073
33;Canada;Population totale;2017;1000 personnes;36732.095
40;Chili;Population totale;2017;1000 personnes;18470.439
96;Chine - RAS de Hong-Kong;Population totale;2017;1000 personnes;7306.322
128;Chine - RAS de Macao;Population totale;2017;1000 personnes;622.585
41;Chine, continentale;Population totale;2017;1000 personnes;1421021.791
214;Chine, Taiwan Province de;Population totale;2017;1000 personnes;23674.546
50;Chypre;Population totale;2017;1000 personnes;1179.678
44;Colombie;Population totale;2017;1000 personnes;48909.839
45;Comores;Population totale;2017;1000 personnes;813.892
46;Congo;Population totale;2017;1000 personnes;5110.695
48;Costa Rica;Population totale;2017;1000 personnes;4949.954
107;Côte d'Ivoire;Population totale;2017;1000 personnes;24437.47
98;Croatie;Population totale;2017;1000 personnes;4182.857
49;Cuba;Population totale;2017;1000 personnes;11339.254
279;Curaçao;Population totale;2017;1000 personnes;161.997
