Code zone;Zone;Code Élément;Élément;Code Produit;Produit;Année;Unité;Valeur
2;Afghanistan;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;55
202;Afrique du Sud;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;2035
3;Albanie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;47
4;Algérie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;264
79;Allemagne;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1609
7;Angola;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;315
8;Antigua-et-Barbuda;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;5
194;Arabie saoudite;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1435
9;Argentine;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1856
1;Arménie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;47
10;Australie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1171
11;Autriche;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;160
52;Azerbaïdjan;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;129
12;Bahamas;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;16
16;Bangladesh;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;240
14;Barbade;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;13
57;Bélarus;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;264
255;Belgique;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;144
23;Belize;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;10
53;Bénin;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;161
19;Bolivie (État plurinational de);5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;403
80;Bosnie-Herzégovine;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;56
20;Botswana;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;7
21;Brésil;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;9982
27;Bulgarie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;157
233;Burkina Faso;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;44
35;Cabo Verde;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;9
115;Cambodge;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;37
32;Cameroun;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;78
33;Canada;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1433
40;Chili;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;672
96;Chine - RAS de Hong-Kong;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;391
128;Chine - RAS de Macao;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;21
41;Chine, continentale;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;17518
214;Chine, Taiwan Province de;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;785
50;Chypre;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;30
44;Colombie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1565
46;Congo;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;110
48;Costa Rica;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;131
107;Côte d'Ivoire;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;62
98;Croatie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;45
49;Cuba;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;269
54;Danemark;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;166
72;Djibouti;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;3
55;Dominique;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;3
59;Égypte;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1250
60;El Salvador;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;131
225;Émirats arabes unis;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;412
58;Équateur;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;324
203;Espagne;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1418
63;Estonie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;28
209;Eswatini;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;7
231;États-Unis d'Amérique;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;18100
238;Éthiopie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;14
185;Fédération de Russie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;4509
66;Fidji;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;25
67;Finlande;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;103
68;France;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1485
74;Gabon;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;61
75;Gambie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;8
73;Géorgie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;61
81;Ghana;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;211
84;Grèce;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;162
86;Grenade;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;5
89;Guatemala;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;348
90;Guinée;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;49
175;Guinée-Bissau;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;4
91;Guyana;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;30
93;Haïti;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;98
95;Honduras;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;205
97;Hongrie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;246
25;Îles Salomon;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;3
100;Inde;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;2965
101;Indonésie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1904
102;Iran (République islamique d');5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;2220
103;Iraq;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;561
104;Irlande;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;123
99;Islande;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;10
105;Israël;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;556
106;Italie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1146
109;Jamaïque;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;149
110;Japon;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;2359
112;Jordanie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;275
108;Kazakhstan;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;330
114;Kenya;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;34
113;Kirghizistan;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;19
83;Kiribati;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;2
118;Koweït;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;188
122;Lesotho;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;17
119;Lettonie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;41
121;Liban;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;73
123;Libéria;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;50
126;Lituanie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;80
256;Luxembourg;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;11
154;Macédoine du Nord;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;41
129;Madagascar;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;73
131;Malaisie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1220
130;Malawi;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;91
132;Maldives;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;7
133;Mali;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;52
134;Malte;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;12
143;Maroc;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;746
137;Maurice;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;48
136;Mauritanie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;22
138;Mexique;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;4058
141;Mongolie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;9
273;Monténégro;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;10
144;Mozambique;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;103
28;Myanmar;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1621
147;Namibie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;28
149;Népal;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;55
157;Nicaragua;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;138
158;Niger;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;20
159;Nigéria;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;192
162;Norvège;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;101
153;Nouvelle-Calédonie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;11
156;Nouvelle-Zélande;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;164
221;Oman;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;101
226;Ouganda;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;62
165;Pakistan;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1218
166;Panama;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;139
169;Paraguay;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;41
150;Pays-Bas;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;346
170;Pérou;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;424
171;Philippines;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1459
173;Pologne;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1150
70;Polynésie française;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;13
174;Portugal;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;315
37;République centrafricaine;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;11
117;République de Corée;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;854
146;République de Moldova;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;66
56;République dominicaine;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;371
116;République populaire démocratique de Corée;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;41
215;République-Unie de Tanzanie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;103
183;Roumanie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;381
229;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;2131
184;Rwanda;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;18
189;Sainte-Lucie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;10
188;Saint-Kitts-et-Nevis;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;3
191;Saint-Vincent-et-les Grenadines;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;8
244;Samoa;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;13
193;Sao Tomé-et-Principe;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;2
195;Sénégal;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;73
272;Serbie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;90
197;Sierra Leone;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;30
199;Slovaquie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;76
198;Slovénie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;51
276;Soudan;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;65
38;Sri Lanka;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;164
210;Suède;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;164
211;Suisse;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;133
207;Suriname;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;18
208;Tadjikistan;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;39
39;Tchad;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;7
167;Tchéquie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;234
216;Thaïlande;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;896
176;Timor-Leste;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;5
217;Togo;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;54
220;Trinité-et-Tobago;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;75
222;Tunisie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;195
213;Turkménistan;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;26
223;Turquie;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1674
230;Ukraine;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;1006
234;Uruguay;5142;Nourriture;2734;Viande de Volailles;2017;Milliers de tonnes;31
