Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
2;Afghanistan;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;57
202;Afrique du Sud;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;2118
3;Albanie;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;47
4;Algérie;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;277
79;Allemagne;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;1739
7;Angola;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;319
8;Antigua-et-Barbuda;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;7
194;Arabie saoudite;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;1435
9;Argentine;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;1962
1;Arménie;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;47
10;Australie;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;1171
11;Autriche;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;173
52;Azerbaïdjan;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;129
12;Bahamas;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;26
16;Bangladesh;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;250
14;Barbade;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;17
57;Bélarus;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;265
255;Belgique;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;152
23;Belize;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;19
53;Bénin;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;161
19;Bolivie (État plurinational de);5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;429
80;Bosnie-Herzégovine;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;55
20;Botswana;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;7
21;Brésil;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;9982
27;Bulgarie;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;157
233;Burkina Faso;5301;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;46
