Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;1.53
202;Afrique du Sud;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;35.69
3;Albanie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;16.36
4;Algérie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;6.38
79;Allemagne;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;19.47
7;Angola;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;10.56
8;Antigua-et-Barbuda;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;54.1
194;Arabie saoudite;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;43.36
9;Argentine;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;42.24
1;Arménie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;16.06
10;Australie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;47.65
11;Autriche;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;18.2
52;Azerbaïdjan;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;13.11
12;Bahamas;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;43.17
16;Bangladesh;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;1.5
14;Barbade;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;46.78
57;Bélarus;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;27.98
255;Belgique;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;12.65
23;Belize;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;25.69
53;Bénin;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;14.4
19;Bolivie (État plurinational de);645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;36
80;Bosnie-Herzégovine;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;16.7
20;Botswana;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;3.39
21;Brésil;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;48.03
27;Bulgarie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;22.06
233;Burkina Faso;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;2.27
35;Cabo Verde;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;17.62
115;Cambodge;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;2.34
32;Cameroun;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;3.16
33;Canada;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;39.02
40;Chili;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;36.36
96;Chine - RAS de Hong-Kong;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;53.51
128;Chine - RAS de Macao;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;34.47
41;Chine, continentale;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;12.33
214;Chine, Taiwan Province de;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;33.17
50;Chypre;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;25.08
44;Colombie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;31.99
46;Congo;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;21.53
48;Costa Rica;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;26.52
107;Côte d'Ivoire;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;2.53
98;Croatie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;10.77
49;Cuba;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;23.72
54;Danemark;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;28.98
72;Djibouti;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;2.68
55;Dominique;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;35.19
59;Égypte;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;12.96
60;El Salvador;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;20.43
225;Émirats arabes unis;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;43.47
58;Équateur;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;19.31
203;Espagne;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;30.39
63;Estonie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;21.26
209;Eswatini;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;6.46
231;États-Unis d'Amérique;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;55.68
238;Éthiopie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;0.13
185;Fédération de Russie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;30.98
66;Fidji;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;28.02
67;Finlande;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;18.76
68;France;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;22.9
74;Gabon;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;29.33
75;Gambie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;3.53
73;Géorgie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;15.27
81;Ghana;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;7.24
84;Grèce;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;15.32
86;Grenade;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;45.7
89;Guatemala;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;20.58
90;Guinée;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;4.08
175;Guinée-Bissau;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;2.16
91;Guyana;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;38.34
93;Haïti;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;8.91
95;Honduras;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;21.73
97;Hongrie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;25.27
25;Îles Salomon;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;4.45
100;Inde;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;2.22
101;Indonésie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;7.19
102;Iran (République islamique d');645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;27.52
103;Iraq;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;14.95
104;Irlande;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;25.82
99;Islande;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;29.95
105;Israël;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;67.39
106;Italie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;18.88
109;Jamaïque;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;51.1
110;Japon;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;18.5
112;Jordanie;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;28.07
108;Kazakhstan;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;18.27
114;Kenya;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;0.67
113;Kirghizistan;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;3.1
83;Kiribati;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;17.98
118;Koweït;645;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;46.25
