Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
2;Afghanistan;5511;Production;Viande de Volailles;2017;Milliers de tonnes;28
202;Afrique du Sud;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1667
3;Albanie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;13
4;Algérie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;275
79;Allemagne;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1514
7;Angola;5511;Production;Viande de Volailles;2017;Milliers de tonnes;42
8;Antigua-et-Barbuda;5511;Production;Viande de Volailles;2017;Milliers de tonnes;0
194;Arabie saoudite;5511;Production;Viande de Volailles;2017;Milliers de tonnes;616
9;Argentine;5511;Production;Viande de Volailles;2017;Milliers de tonnes;2161
1;Arménie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;11
10;Australie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1269
11;Autriche;5511;Production;Viande de Volailles;2017;Milliers de tonnes;148
52;Azerbaïdjan;5511;Production;Viande de Volailles;2017;Milliers de tonnes;104
12;Bahamas;5511;Production;Viande de Volailles;2017;Milliers de tonnes;6
16;Bangladesh;5511;Production;Viande de Volailles;2017;Milliers de tonnes;249
14;Barbade;5511;Production;Viande de Volailles;2017;Milliers de tonnes;15
57;Bélarus;5511;Production;Viande de Volailles;2017;Milliers de tonnes;463
255;Belgique;5511;Production;Viande de Volailles;2017;Milliers de tonnes;463
23;Belize;5511;Production;Viande de Volailles;2017;Milliers de tonnes;20
53;Bénin;5511;Production;Viande de Volailles;2017;Milliers de tonnes;18
19;Bolivie (État plurinational de);5511;Production;Viande de Volailles;2017;Milliers de tonnes;533
80;Bosnie-Herzégovine;5511;Production;Viande de Volailles;2017;Milliers de tonnes;61
20;Botswana;5511;Production;Viande de Volailles;2017;Milliers de tonnes;5
21;Brésil;5511;Production;Viande de Volailles;2017;Milliers de tonnes;14201
27;Bulgarie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;107
233;Burkina Faso;5511;Production;Viande de Volailles;2017;Milliers de tonnes;46
35;Cabo Verde;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1
115;Cambodge;5511;Production;Viande de Volailles;2017;Milliers de tonnes;28
32;Cameroun;5511;Production;Viande de Volailles;2017;Milliers de tonnes;81
33;Canada;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1417
40;Chili;5511;Production;Viande de Volailles;2017;Milliers de tonnes;712
96;Chine - RAS de Hong-Kong;5511;Production;Viande de Volailles;2017;Milliers de tonnes;24
