Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
202;Afrique du Sud;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;63
3;Albanie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
4;Algérie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
79;Allemagne;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;646
7;Angola;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
8;Antigua-et-Barbuda;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
194;Arabie saoudite;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;10
9;Argentine;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;207
1;Arménie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
10;Australie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;42
11;Autriche;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;78
52;Azerbaïdjan;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
14;Barbade;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
57;Bélarus;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;152
255;Belgique;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;656
23;Belize;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
53;Bénin;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
19;Bolivie (État plurinational de);5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
80;Bosnie-Herzégovine;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;8
20;Botswana;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
21;Brésil;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;4223
27;Bulgarie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;45
32;Cameroun;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
33;Canada;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;163
40;Chili;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;115
96;Chine - RAS de Hong-Kong;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;663
128;Chine - RAS de Macao;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
