Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
2;Afghanistan;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;29
202;Afrique du Sud;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;514
3;Albanie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;38
4;Algérie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
79;Allemagne;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;842
7;Angola;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;277
8;Antigua-et-Barbuda;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;7
194;Arabie saoudite;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;722
9;Argentine;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;8
1;Arménie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;35
10;Australie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;16
11;Autriche;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;110
52;Azerbaïdjan;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;27
12;Bahamas;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;24
16;Bangladesh;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
14;Barbade;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
57;Bélarus;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;21
255;Belgique;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;338
23;Belize;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
53;Bénin;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;123
19;Bolivie (État plurinational de);5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
80;Bosnie-Herzégovine;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;10
20;Botswana;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
21;Brésil;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
27;Bulgarie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;108
233;Burkina Faso;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
35;Cabo Verde;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;12
115;Cambodge;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;10
32;Cameroun;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
33;Canada;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;182
40;Chili;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;155
96;Chine - RAS de Hong-Kong;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;907
128;Chine - RAS de Macao;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;23
41;Chine, continentale;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;452
214;Chine, Taiwan Province de;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;161
50;Chypre;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;14
44;Colombie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;78
46;Congo;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;104
48;Costa Rica;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;17
107;Côte d'Ivoire;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;7
